藥品代碼,藥品名稱,數量,支付價,藥商
A001206100,CLOFIBRATE ， 一般錠劑膠囊劑 ， 250.00 MG,70.0,1.5,約克製藥股份有限公司
A001217100,DIAZEPAM ， 一般錠劑膠囊劑 ， 5.00 MG,28.0,0.8,華盛頓製藥廠股份有限公司
A001226100,PREDNISOLONE ， 一般錠劑膠囊劑 ， 5.00 MG,114891.0,0.9,健喬信元醫藥生技股份有限公司
A001358100,AMINOPHYLLINE ， 一般錠劑膠囊劑 ， 100.00 MG,3904.5,0.5,中央藥品股份有限公司
A001396100,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,228.0,1.5,景德製藥股份有限公司
A001398100,NALIDIXIC ACID ， 一般錠劑膠囊劑 ， 500.00 MG,822.0,2.5,新喜國際企業股份有限公司
A001400100,DIPROPHYLLINE ， 一般錠劑膠囊劑 ， 100.00 MG,15490.0,0.61,大豐製藥股份有限公司
A001426100,ALUMINUM HYDROXIDE ， 內服液劑 ， 40.00  MG/ML ， 1.00 ML,4536.0,0.13,華盛頓製藥廠股份有限公司
A001426199,ALUMINUM HYDROXIDE ， 內服液劑 ， 40.00  MG/ML ， 1.00 ML,537.0,0.13,華盛頓製藥廠股份有限公司
A001437277,AMPICILLIN ， 注射劑 ， 500.00 MG,39.0,6.98,濟生醫藥生技股份有限公司
A001446100,AMPICILLIN ， 一般錠劑膠囊劑 ， 500.00 MG,94.5,2.5,新東化學製藥股份有限公司
A001448100,NOSCAPINE ， 一般錠劑膠囊劑 ， 20.00 MG,1641175.3,2,優生製藥廠股份有限公司
A001532100,MEDAZEPAM ， 一般錠劑膠囊劑 ， 5.00 MG,725.0,1,強生化學製藥廠股份有限公司
A001584100,MAGNESIUM OXIDE ， 一般錠劑膠囊劑 ， 250.00 MG,371387.6,0.32,華盛頓製藥廠股份有限公司
A001607100,METOCLOPRAMIDE ， 一般錠劑膠囊劑 ， 3.84-5.00 MG,99.0,0.6,優生製藥廠股份有限公司
A001632100,MINOCYCLINE ， 一般錠劑膠囊劑 ， 100.00 MG,974.8,9.1,臺灣惠氏股份有限公司新竹廠
A001641100,CYPROHEPTADINE ， 一般錠劑膠囊劑 ， 4.00 MG,14428.5,0.6,生達化學製藥股份有限公司
A001644100,DICYCLOMINE ， 一般錠劑膠囊劑 ， 20.00 MG,510.0,1,回生藥業股份有限公司
A001646100,DIAZEPAM ， 一般錠劑膠囊劑 ， 2.00 MG,5610.0,2,健喬信元醫藥生技股份有限公司
A0016461G0,DIAZEPAM ， 一般錠劑膠囊劑 ， 2.00 MG,2553.0,1.5,健喬信元醫藥生技股份有限公司
A001648100,含ANTIHISTAMINE或NASAL DECONGESTANT之複方製劑， 一般錠劑膠囊劑,36.0,0.5,強生化學製藥廠股份有限公司
A001673100,CINNARIZINE ， 一般錠劑膠囊劑 ， 25.00 MG,206.0,1,生達化學製藥股份有限公司
A0016731G0,CINNARIZINE ， 一般錠劑膠囊劑 ， 25.00 MG,15.0,1.5,生達化學製藥股份有限公司
A001691100,METOCLOPRAMIDE ， 一般錠劑膠囊劑 ， 7.67 - 10.00 MG,3.0,0.5,永信藥品工業股份有限公司
A001713100,AMYLASE 10MG + DIASTASE 5MG， 一般錠劑膠囊劑，,3551398.7,4.7,回春堂製藥廠股份有限公司
A001735100,SCOPOLAMINE ， 一般錠劑膠囊劑 ， 10.00 MG,18.0,0.88,優生製藥廠股份有限公司
A001779100,DEXAMETHASONE ， 一般錠劑膠囊劑 ， 500.00 MCG,18663.0,0.69,約克製藥股份有限公司
A001781100,BETAMETHASONE ， 一般錠劑膠囊劑 ， 500.00 MCG,826.0,0.75,臺灣汎生製藥廠股份有限公司
A001782100,CARBETAPENTANE ， 一般錠劑膠囊劑 ， 25.00 MG,287820.0,0.4,生達化學製藥股份有限公司
A001793100,含methyl testosterone 10mg，單、複方製劑，一般錠劑膠囊劑,141.0,1.35,華興化學製藥廠股份有限公司
A001816100,DICYCLOMINE ， 一般錠劑膠囊劑 ， 10.00 MG,62.0,0.85,臺灣汎生製藥廠股份有限公司
A001833229,DEXAMETHASONE ， 注射劑 ， 10.00 MG,13.8,9.81,東洲化學製藥廠股份有限公司
A001836100,METHIMAZOLE ， 一般錠劑膠囊劑 ， 5.00 MG,35.0,1.5,杏林新生製藥股份有限公司
A001850100,AMPICILLIN ， 一般錠劑膠囊劑 ， 250.00 MG,2140.0,2,臺灣汎生製藥廠股份有限公司
A001856100,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,347.0,1.5,華孚股份有限公司
A001865212,DIAZEPAM ， 注射劑 ， 10.00 MG,15.0,7,臺灣汎生製藥廠股份有限公司
A001866100,AMPICILLIN ， 一般錠劑膠囊劑 ， 500.00 MG,22777.0,2,臺灣汎生製藥廠股份有限公司
A001867277,AMPICILLIN ， 注射劑 ， 500.00 MG,12.0,6.59,臺灣汎生製藥廠股份有限公司
A001881100,DICYCLOMINE 2.5MG + ALUMINUM HYDROXIDE 200MG + MAGNESIUM OXIDE 100MG， 一般錠劑膠囊劑，,346.0,0.4,約克製藥股份有限公司
A001941100,DIPYRIDAMOLE ， 一般錠劑膠囊劑 ， 25.00 MG,9.0,2,優生製藥廠股份有限公司
A001963100,METRONIDAZOLE ， 一般錠劑膠囊劑 ， 250.00 MG,6438.0,1.29,約克製藥股份有限公司
A0019631G0,METRONIDAZOLE ， 一般錠劑膠囊劑 ， 250.00 MG,30.0,1.5,約克製藥股份有限公司
A001973100,VITAMIN E (=TOCOPHEROL) ， 一般錠劑膠囊劑 ， 100.00 MG,27.0,1,優生製藥廠股份有限公司
A001982212,DICYCLOMINE ， 注射劑 ， 20.00 MG,5.5,6,臺灣汎生製藥廠股份有限公司
A001997100,CHLORZOXAZONE ， 一般錠劑膠囊劑 ， 200.00 MG,250627.2,0.86,中生生技製藥股份有限公司淡水廠
A002076100,ETHAMBUTOL ， 一般錠劑膠囊劑 ， 250.00 MG,6.0,1.02,龍杏生技製藥股份有限公司
A002078100,DEXTROMETHORPHAN ， 一般錠劑膠囊劑 ， 15.00 MG,1393.5,0.2,順生製藥股份有限公司
A002086100,DICYCLOMINE 2MG + SCOPOLAMINE 2MG + CHLORDIAZEPOXIDE 5MG + ALUMINUM SILICATE 60MG + MAGALDRAT 350MG + MAGNESIUM OXIDE 40MG + CHLOROPHYLL SODIUM COPPER 3MG， 一般錠劑膠囊劑，,68.0,0.85,安力圻生技股份有限公司
A002107500,ACETYLSALICYLIC ACID ， 栓劑 ， 125-325 MG,28.0,2.7,中國化學製藥股份有限公司新豐工廠
A002126100,DICYCLOMINE 5MG + ALUMINUM HYDROXIDE 400MG + MAGNESIUM OXIDE 200MG， 一般錠劑膠囊劑，,395.0,0.24,優生製藥廠股份有限公司
A002140100,VITAMINE B12 (=HYDROXOCOBALAMIN) ， 一般錠劑膠囊劑 ， 500.00 MCG,19465.0,1.5,井田製藥工業股份有限公司
A0021401G0,VITAMINE B12 (=HYDROXOCOBALAMIN) ， 一般錠劑膠囊劑 ， 500.00 MCG,184.0,1.5,井田製藥工業股份有限公司
A002242100,NALIDIXIC ACID ， 一般錠劑膠囊劑 ， 500.00 MG,1743.9,3,井田國際醫藥廠股份有限公司
A002323100,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,2393.0,1.5,濟生醫藥生技股份有限公司
A002341349,CALAMINE 20MG/ML + ZINC OXIDE 80MG/ML， 外用液劑， 53.00ML,450.0,6.89,健喬信元醫藥生技股份有限公司
A002341351,CALAMINE 20MG/ML + ZINC OXIDE 80MG/ML， 外用液劑， 60.00ML,2.0,7.8,健喬信元醫藥生技股份有限公司
A002341355,CALAMINE 20MG/ML + ZINC OXIDE 80MG/ML， 外用液劑， 100.00ML,457.0,13,健喬信元醫藥生技股份有限公司
A002343100,DIAZEPAM ， 一般錠劑膠囊劑 ， 5.00 MG,4.5,0.6,優生製藥廠股份有限公司
A002359100,PREDNISOLONE ， 一般錠劑膠囊劑 ， 5.00 MG,15543.8,1,優生製藥廠股份有限公司
A002362100,BUTYLSCOPOLAMINE ， 一般錠劑膠囊劑 ， 10.00 MG,2766.0,1,東洲化學製藥廠股份有限公司
A0023681G0,FUROSEMIDE ， 一般錠劑膠囊劑 ， 40.00 MG,3.0,1.5,優生製藥廠股份有限公司
A002385100,PREDNISOLONE ， 一般錠劑膠囊劑 ， 5.00 MG,1098.0,0.9,三東生物科技股份有限公司
A002403100,AMPICILLIN ， 一般錠劑膠囊劑 ， 250.00 MG,2412.0,2,景德製藥股份有限公司
A002420100,homatropine 1-1.25mg + aluminum hydroxide 0-300mg， 一般錠劑膠囊劑,9.0,1.1,永信藥品工業股份有限公司
A002444100,AMPICILLIN ， 一般錠劑膠囊劑 ， 500.00 MG,159.0,3,中國化學製藥股份有限公司台中工廠
A002445100,AMPICILLIN 125MG + CLOXACILLIN 125MG， 一般錠劑膠囊劑，,9.0,2.65,臺灣汎生製藥廠股份有限公司
A002479100,ALUMINUM HYDROXIDE ， 一般錠劑膠囊劑 ， 233.00 MG,87660.0,0.71,新加坡商美納里尼醫藥有限公司台灣分公司
A002504100,FUROSEMIDE ， 一般錠劑膠囊劑 ， 40.00 MG,245.5,0.5,福元化學製藥股份有限公司
A002555100,DIMETHICONE ， 一般錠劑膠囊劑 ， 40.00 MG,531969.9,0.15,優生製藥廠股份有限公司
A002562100,BENZYDAMINE ， 一般錠劑膠囊劑 ， 25.00 MG,9.0,1,優生製藥廠股份有限公司
A002595100,METOCLOPRAMIDE ， 一般錠劑膠囊劑 ， 3.84-5.00 MG,107926.5,0.62,豐田藥品股份有限公司
A002616100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,8637.6,0.9,金馬化學製藥股份有限公司
A002626100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,600.0,1,臺灣汎生製藥廠股份有限公司
A002635100,SCOPOLAMINE ， 一般錠劑膠囊劑 ， 10.00 MG,153022.8,0.89,約克製藥股份有限公司
A002644100,CHLORZOXAZONE ， 一般錠劑膠囊劑 ， 250.00 MG,45.0,1.5,優生製藥廠股份有限公司
A002657229,PROGESTERONE ， 注射劑 ， 250.00 MG,5004.0,15.6,安星製藥股份有限公司
A002658100,CYCLIZINE ， 一般錠劑膠囊劑 ， 50.00 MG,102.0,4.02,華盛頓製藥廠股份有限公司
A002680100,ALUMINUM MAGNESIUM HYDROXIDE CARBONATE HYDRATE ， 一般錠劑膠囊劑 ， 200.00 MG,272027.6,0.5,中國化學製藥股份有限公司新豐工廠
A002684100,BROMHEXINE ， 一般錠劑膠囊劑 ， 8.00 MG,39861.3,0.29,優生製藥廠股份有限公司
A002699100,ACETAMINOPHEN ， 一般錠劑膠囊劑 ， 300.00 MG,1620.0,0.5,順生製藥股份有限公司
A002755100,VITAMIN B1 50MG + VITAMIN B2 2-5MG， 一般錠劑膠囊劑,18.0,0.65,台灣陽生製藥工業股份有限公司
A002759100,VITAMIN B2 (=RIBOFLAVIN) ， 一般錠劑膠囊劑 ， 10.00 MG,11721.5,0.18,優生製藥廠股份有限公司
A002760100,DEXTROMETHORPHAN ， 一般錠劑膠囊劑 ， 15.00 MG,181172.2,0.6,優生製藥廠股份有限公司
A002766100,ACETAMINOPHEN ， 一般錠劑膠囊劑 ， 300.00 MG,4943.8,0.5,中央藥品股份有限公司
A002844100,METHYLEPHEDRINE ， 一般錠劑膠囊劑 ， 25.00 MG,1.5,0.5,優生製藥廠股份有限公司
A002845100,VITAMIN B6 (=PYRIDOXINE) ， 一般錠劑膠囊劑 ， 50.00 MG,14534.5,0.2,優生製藥廠股份有限公司
A002856100,含ANTIHISTAMINE或NASAL DECONGESTANT之複方製劑， 一般錠劑膠囊劑,136127.0,0.7,福元化學製藥股份有限公司
A002863100,GLYBURIDE (=GLIBENCLAMIDE) ， 一般錠劑膠囊劑 ， 5.00 MG,350.0,2.16,生達化學製藥股份有限公司
A002904100,CYPROHEPTADINE ， 一般錠劑膠囊劑 ， 4.00 MG,159.0,0.34,強生化學製藥廠股份有限公司
A002921100,含ANTIHISTAMINE或NASAL DECONGESTANT之複方製劑， 一般錠劑膠囊劑,8328.5,0.4,優生製藥廠股份有限公司
A002961100,METRONIDAZOLE ， 一般錠劑膠囊劑 ， 250.00 MG,99.0,1.29,永新藥品工業股份有限公司
A002971100,METHYLEPHEDRINE ， 一般錠劑膠囊劑 ， 25.00 MG,3232.1,0.5,永新藥品工業股份有限公司
A002985100,CHLORPHENIRAMINE ， 一般錠劑膠囊劑 ， 3.00 MG,18255.0,0.5,永新藥品工業股份有限公司
A002987100,VITAMIN B12 (=CYANOCOBALAMIN) ， 一般錠劑膠囊劑 ， 1000.00 MCG,468.0,1,永新藥品工業股份有限公司
A002989100,CUPRIC SULFATE 0.500MG + FERROUS GLUCONATE 60.000MG + LIVER 20.000MG + THIAMINE NITRATE 1.000MG + RIBOFLAVIN (=VIT B2) 1.000MG + CYANOCOBALAMIN (=VIT B12) 2.000MCG， 一般錠劑膠囊劑,702.0,1,永新藥品工業股份有限公司
A002994100,含ANTIHISTAMINE或NASAL DECONGESTANT之複方製劑， 一般錠劑膠囊劑,71033.0,1,岳生生技股份有限公司
A003023212,METHIONINE DL- 20MG/ML+CHLORPHENIRAMINE MALEATE 1.5MG/ML+RIBOFLAVIN PHOSPHATE 2.5MG/ML+PYRIDOXINE HCL 2.5MG/ML+PANTHENOL 5MG/ML+FLAVINEADENINE DINUCLEOTIDE 0.05MG/ML+NIACINAMIDE (=NICOTINAMIDE) 10MG/ML+BIOTIN 0.25MG/ML，注射劑，2.00ML,21.5,7.14,安星製藥股份有限公司
A003086100,DEXAMETHASONE ， 一般錠劑膠囊劑 ， 500.00 MCG,1641.8,0.69,台灣陽生製藥工業股份有限公司
A003092100,ACETYLSALICYLIC ACID ，一般錠劑膠囊劑， 500.00 MG,161.3,0.45,健喬信元醫藥生技股份有限公司
A003107100,ANETHOLE TRITHIONE ， 一般錠劑膠囊劑 ， 12.50 MG,116.0,0.83,豐田藥品股份有限公司
A003109100,VITAMIN C (=ASCORBIC ACID) ， 一般錠劑膠囊劑 ， 100.00 MG,11904.5,0.3,豐田藥品股份有限公司
A003116100,INDOMETHACIN ， 一般錠劑膠囊劑 ， 25.00 MG,18.0,1,三東生物科技股份有限公司
A003133238,WATER FOR INJECTION ， 注射劑 ， 20.00 ML,41.0,3.7,南光化學製藥股份有限公司
A003156212,VITAMIN B6 (=PYRIDOXAL 5-PHOSPHATE) ， 注射劑 ， 10.00 MG,7.0,3,安星製藥股份有限公司
A003157221,HISTIDINE ， 注射劑 ， 200.00 MG,2.0,4.8,安星製藥股份有限公司
A003159238,SODIUM SALICYLATE 20MG/ML + CHONDROITIN 10MG/ML，  注射劑，  20.00ML,79.0,22,臺灣汎生製藥廠股份有限公司
A003171100,DEXAMETHASONE ， 一般錠劑膠囊劑 ， 500.00 MCG,16.0,0.6,優生製藥廠股份有限公司
A003206100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,565.0,1,生達化學製藥股份有限公司
A003222221,HISTIDINE ， 注射劑 ， 200.00 MG,20.0,5,南光化學製藥股份有限公司
A003227100,CEPHALEXIN ， 一般錠劑膠囊劑 ， 500.00 MG,4115.6,8.6,臺灣禮來股份有限公司
A003244100,PROCHLORPERAZINE ， 一般錠劑膠囊劑 ， 5.00 MG,27.0,1,優生製藥廠股份有限公司
A003286100,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,3865.3,1.5,瑞士藥廠股份有限公司
A0032861G0,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,384.0,1.5,瑞士藥廠股份有限公司
A003311100,DIASTASE 120MG + PANCREATIN 120MG + PEPSIN 60MG， 一般錠劑膠囊劑，,86981.8,1,華盛頓製藥廠股份有限公司
A003314100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,490.5,1,永吉製藥股份有限公司
A003317212,FUROSEMIDE ， 注射劑 ， 20.00 MG,3.0,12.2,賽諾菲股份有限公司
A003318100,METOCLOPRAMIDE ， 一般錠劑膠囊劑 ， 3.84-5.00 MG,270.0,1,生達化學製藥股份有限公司
A003365100,PREDNISOLONE ， 一般錠劑膠囊劑 ， 5.00 MG,55.5,0.9,榮民製藥股份有限公司
A0033651G0,PREDNISOLONE ， 一般錠劑膠囊劑 ， 5.00 MG,220.0,1.5,榮民製藥股份有限公司
A003367100,VITAMIN B12 (=CYANOCOBALAMIN) ， 一般錠劑膠囊劑 ， 100.00 MCG,831.0,1,優生製藥廠股份有限公司
A003373321,FLUOCINOLONE 0.25MG/GM + NEOMYCIN 3.5MG/GM， 外用軟膏劑， 5.00GM,24.0,43.4,健喬信元醫藥生技股份有限公司
A003373329,FLUOCINOLONE 0.25MG/GM + NEOMYCIN 3.5MG/GM， 外用軟膏劑， 10.00GM,54.0,64.8,健喬信元醫藥生技股份有限公司
A003386209,TRIAMCINOLONE ， 注射劑 ， 40.00 MG,2597.3,5,東洲化學製藥廠股份有限公司
A003386212,TRIAMCINOLONE ， 注射劑 ， 80.00 MG,1634.7,35.4,東洲化學製藥廠股份有限公司
A003386229,TRIAMCINOLONE ， 注射劑 ， 400.00 MG,3639.1,91,東洲化學製藥廠股份有限公司
A003388100,HYDROCHLOROTHIAZIDE ， 一般錠劑膠囊劑 ， 50.00 MG,63.0,0.65,榮民製藥股份有限公司
A003389100,ACETAZOLAMIDE ， 一般錠劑膠囊劑 ， 250.00 MG,105.0,2,榮民製藥股份有限公司
A003390100,MEPROBAMATE ， 一般錠劑膠囊劑 ， 200.00 MG,18.0,0.5,榮民製藥股份有限公司
A003393100,CHLORPROMAZINE ， 一般錠劑膠囊劑 ， 100.00 MG,176.0,1.57,榮民製藥股份有限公司
A003417209,STREPTOMYCIN ， 注射劑 ， 1.00 GM,1.0,7.4,榮民製藥股份有限公司
A003440100,VITAMIN B2 (=RIBOFLAVIN) ， 一般錠劑膠囊劑 ， 5.00 MG,898.8,0.1,榮民製藥股份有限公司
A003442100,CHLORPHENIRAMINE ， 一般錠劑膠囊劑 ， 4.00 MG,262187.7,0.1,榮民製藥股份有限公司
A003446221,TRIAMCINOLONE ， 注射劑 ， 50.00 MG,2184.5,40,東洲化學製藥廠股份有限公司
A003496100,FUROSEMIDE ， 一般錠劑膠囊劑 ， 40.00 MG,19.5,0.5,利達製藥股份有限公司
A003534100,DEXAMETHASONE ， 一般錠劑膠囊劑 ， 500.00 MCG,9.0,0.69,衛肯生技製藥股份有限公司
A003551100,PIPERILATE 3MG + ALUMINUM MAGNESIUM SILICATE 290MG + GLYCYRRHETIC ACID 40MG + HISTIDINE 30MG， 一般錠劑膠囊劑，,4817.0,2,臺灣汎生製藥廠股份有限公司
A003572421,CHONDROITIN 10MG/ML + FLAVINEADENINE 0.5MG/ML， 眼用液劑， 5.00ML,9.0,25,綠洲化學工業有限公司
A003621100,DEXTROMETHORPHAN ， 一般錠劑膠囊劑 ， 10.00 MG,59944.5,0.6,豐田藥品股份有限公司
A003623100,DICYCLOMINE 5MG + ALUMINUM HYDROXIDE 400MG + MAGNESIUM OXIDE 200MG， 一般錠劑膠囊劑，,4818.0,1,豐田藥品股份有限公司
A003633100,CHLORPHENIRAMINE ， 一般錠劑膠囊劑 ， 4.00 MG,2433585.8,0.3,台灣陽生製藥工業股份有限公司
A003648100,AMINOPHYLLINE 25MG + CHLORPHENIRAMINE 2MG + EPHEDRINE 5MG + GUAIFENESIN 20MG， 一般錠劑膠囊劑，,109.5,0.3,中國化學製藥股份有限公司新豐工廠
A003686100,DIASTASE 120MG + PANCREATIN 120MG + PEPSIN 60MG， 一般錠劑膠囊劑，,1213.0,0.9,景德製藥股份有限公司
A003687100,DOXYCYCLINE ， 一般錠劑膠囊劑 ， 100.00 MG,3868.5,1.54,新東化學製藥股份有限公司
A003697417,TETRACYCLINE ， 眼耳鼻用軟膏 ， 10.00  MG/GM ， 3.50 GM,34.4,7.3,綠洲化學工業有限公司
